,name,link
0,Абашева Александра Сергеевна,https://www.hse.ru/org/persons/485801
1,Авраменко Иван Александрович,https://www.hse.ru/org/persons/99247481
2,Агаркова Наталия Владиславовна,https://www.hse.ru/org/persons/28123133
3,Айхбергер Юрген Томас Германн,https://www.hse.ru/org/persons/359359486
4,Александров Владимир Анатольевич,https://www.hse.ru/org/persons/420359428
5,Алексеева Лариса Николаевна,https://www.hse.ru/org/persons/66770114
6,Аленина Карина Анатольевна,https://www.hse.ru/org/persons/202287
7,Алова Надежда Владимировна,https://www.hse.ru/org/persons/28123313
8,Андреева Ольга Юрьевна,https://www.hse.ru/org/persons/152893083
9,Андрианов Игорь Владимирович,https://www.hse.ru/org/persons/223725475
10,Андрианова Татьяна Алексеевна,https://www.hse.ru/org/persons/202256
11,Антинескул Ольга Леонидовна,https://www.hse.ru/org/persons/202178
12,Анфёрова Екатерина Александровна,https://www.hse.ru/org/persons/27271002
13,Артемьев Дмитрий Геннадьевич,https://www.hse.ru/org/persons/452094
14,Архипов Валерий Михайлович,https://www.hse.ru/org/persons/189041
15,Афонина Александра Алексеевна,https://www.hse.ru/org/persons/101505666
16,Бабенко Юлия Леонидовна,https://www.hse.ru/staff/iulbabenko
17,Баранова Людмила Алексеевна,https://www.hse.ru/org/persons/46276719
18,Баранова Ольга Сергеевна,https://www.hse.ru/org/persons/211475961
19,Барахас Анхель,https://www.hse.ru/staff/barajas
20,Барклянская Надежда Владимировна,https://www.hse.ru/org/persons/202235
21,Безрукова Татьяна Александровна,https://www.hse.ru/org/persons/307172453
22,Белых Светлана Александровна,https://www.hse.ru/org/persons/26657001
23,Беляева Татьяна Николаевна,https://www.hse.ru/org/persons/30488619
24,Береснева Татьяна Анатольевна,https://www.hse.ru/org/persons/28123640
25,Бисерова Анастасия Павловна,https://www.hse.ru/org/persons/225517739
26,Богаченко Лариса Викторовна,https://www.hse.ru/org/persons/47123196
27,Божья-Воля Анастасия Александровна,https://www.hse.ru/org/persons/7527968
28,Борисова Елена Феликсовна,https://www.hse.ru/org/persons/28123760
29,Бородулин Игорь Леонидович,https://www.hse.ru/staff/iborodulin
30,Брюхина Евгения Рафиковна,https://www.hse.ru/org/persons/44225274
31,Бузмаков Алексей Владимирович,https://www.hse.ru/staff/abuzmakov
32,Букина Татьяна Витальевна,https://www.hse.ru/org/persons/140098
33,Бурдина Юлия Андреевна,https://www.hse.ru/org/persons/27271056
34,Быков Алексей Сергеевич,https://www.hse.ru/org/persons/244568218
35,Быкова Анна Андреевна,https://www.hse.ru/staff/Anna_Bykova
36,Быстрых Ольга Валерьевна,https://www.hse.ru/org/persons/29168623
37,Василенко Дарья Владимировна,https://www.hse.ru/org/persons/401783546
38,Василенко Юрий Владимирович,https://www.hse.ru/org/persons/26123670
39,Вачегина Анна Сергеевна,https://www.hse.ru/org/persons/28887854
40,Ведерников Василий Владимирович,https://www.hse.ru/org/persons/202436
41,Викентьева Ольга Леонидовна,https://www.hse.ru/org/persons/202354
42,Вилесова Елена Сергеевна,https://www.hse.ru/org/persons/212426774
43,Виноградов Дмитрий Владимирович,https://www.hse.ru/org/persons/218734657
44,Виноградова Лидия Дмитриевна,https://www.hse.ru/org/persons/318871021
45,Власов Виктор Антонович,https://www.hse.ru/org/persons/190880720
46,Власов Вячеслав Сергеевич,https://www.hse.ru/org/persons/28123987
47,Возиян Татьяна Юрьевна,https://www.hse.ru/org/persons/197240820
48,Володина Галина Емельяновна,https://www.hse.ru/staff/volodina
49,Вохмина Виктория Леонидовна,https://www.hse.ru/staff/VLZarubskaia
50,Гагарина Динара Амировна,https://www.hse.ru/org/persons/218734686
51,Геворгян Мария Анатольевна,https://www.hse.ru/org/persons/206395770
52,Георгиева Наталия Юрьевна,https://www.hse.ru/org/persons/202238
53,Гергерт Дмитрий Владимирович,https://www.hse.ru/staff/dgergert
54,Глушакова Софья Оскаровна,https://www.hse.ru/org/persons/202241
55,Глушков Александр Владимирович,https://www.hse.ru/org/persons/137228431
56,Глущенко Наталья Алексеевна,https://www.hse.ru/org/persons/150617764
57,Гоголев Степан Леонидович,https://www.hse.ru/staff/SGogolev
58,Гоменюк Наталья Викторовна,https://www.hse.ru/org/persons/161323066
59,Горбунова Екатерина Юрьевна,https://www.hse.ru/org/persons/202194241
60,Гордеев Юрий Матвеевич,https://www.hse.ru/org/persons/6079609
61,Горшков Олег Владимирович,https://www.hse.ru/org/persons/305070607
62,Грабарь Вадим Валерьевич,https://www.hse.ru/org/persons/202163
63,Графова Галина Михайловна,https://www.hse.ru/org/persons/28124259
64,Гужева Елена Анатольевна,https://www.hse.ru/org/persons/28124433
65,Гукасян Вероника Антоновна,https://www.hse.ru/org/persons/225528515
66,Гусейнова Эльзара Расимовна,https://www.hse.ru/org/persons/28124451
67,Гусинская Светлана Вацлавовна,https://www.hse.ru/org/persons/28124468
68,Гущин Валерий Рафаилович,https://www.hse.ru/org/persons/34616611
69,Давыдова Татьяна Федоровна,https://www.hse.ru/org/persons/13243443
70,Дацун Наталья Николаевна,https://www.hse.ru/org/persons/254666952
